T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
20.1,27.3,14.2,-,56,9.2,1.3,3.5,223.25
20.8,27.4,13.9,-,58,7.7,2,5.4,248.95833333333331
nan,nan,nan,nan,nan,nan,nan,nan,441.41666666666674
nan,nan,nan,nan,nan,nan,nan,nan,237.79166666666663
nan,nan,nan,nan,nan,nan,nan,nan,334.875
-,-,-,-,-,-,-,-,nan
22.6,29,18.8,-,84,5.3,6.1,9.4,19.416666666666668
22.4,29,20.1,-,88,5.5,4.3,9.4,8.416666666666666
nan,nan,nan,nan,nan,nan,nan,nan,20.916666666666668
nan,nan,nan,nan,nan,nan,nan,nan,19.75
nan,nan,nan,nan,nan,nan,nan,nan,15.75
23.2,28.1,20.1,-,83,6.9,6.1,11.1,0.0
23.3,27.8,20.4,-,79,6.9,6.3,9.4,0.0
23.4,28,20.8,-,79,5.5,8.3,11.1,4.833333333333333
nan,nan,nan,nan,nan,nan,nan,nan,8.291666666666666
nan,nan,nan,nan,nan,nan,nan,nan,9.333333333333334
nan,nan,nan,nan,nan,nan,nan,nan,5.041666666666667
23.9,29.9,20,-,76,6.9,5,7.6,15.375
23.7,30.3,20.6,-,76,6.9,5.2,7.6,19.83333333333333
24,30.3,20.6,-,75,6.9,6.5,9.4,25.79166666666667
23.6,28.8,21,-,77,6.3,5.9,11.1,22.70833333333333
nan,nan,nan,nan,nan,nan,nan,nan,27.125
nan,nan,nan,nan,nan,nan,nan,nan,42.458333333333336
nan,nan,nan,nan,nan,nan,nan,nan,35.5
22.6,29.3,20.3,-,83,5.5,5.7,9.4,31.33333333333333
23.6,28.5,20.4,-,79,6.3,6.1,7.6,47.41666666666666
23.3,28.5,20.6,-,80,6.9,3.7,7.6,33.791666666666664
nan,nan,nan,nan,nan,nan,nan,nan,54.875
nan,nan,nan,nan,nan,nan,nan,nan,49.625
nan,nan,nan,nan,nan,nan,nan,nan,35.041666666666664
23.4,27.6,20,-,83,6.9,5.6,9.4,39.04166666666666
24.6,29.4,20.7,-,77,6.3,4.8,9.4,41.708333333333336
25.2,31.1,20.5,-,72,6.9,5.2,9.4,28.75
nan,nan,nan,nan,nan,nan,nan,nan,31.0
nan,nan,nan,nan,nan,nan,nan,nan,37.79166666666666
nan,nan,nan,nan,nan,nan,nan,nan,34.041666666666664
25.6,31.2,22.3,-,79,6.9,3.3,5.4,12.25
25.3,31.6,22.4,-,74,6.3,3.9,9.4,14.5
23.4,31.6,21,-,80,6.9,3.3,11.1,23.91666666666667
nan,nan,nan,nan,nan,nan,nan,nan,26.45833333333333
nan,nan,nan,nan,nan,nan,nan,nan,25.33333333333333
nan,nan,nan,nan,nan,nan,nan,nan,24.20833333333333
24.4,29.6,19.7,-,67,6.9,3.1,7.6,27.375
23.8,30.1,19.6,-,71,6.3,3.9,7.6,29.20833333333333
22.5,30.1,20.3,-,86,6.3,4.6,7.6,36.5
nan,nan,nan,nan,nan,nan,nan,nan,57.25
nan,nan,nan,nan,nan,nan,nan,nan,38.66666666666666
nan,nan,nan,nan,nan,nan,nan,nan,28.5
25.1,29.7,20.8,-,69,6.9,4.3,5.4,27.83333333333333
25.5,31,21.1,-,66,7.7,3.1,5.4,44.125
25.4,31,21.6,-,67,6.9,2.8,5.4,62.25
25.7,31.7,22,-,70,6.6,2,3.5,60.125
nan,nan,nan,nan,nan,nan,nan,nan,54.25
nan,nan,nan,nan,nan,nan,nan,nan,43.08333333333334
nan,nan,nan,nan,nan,nan,nan,nan,37.41666666666666
22.4,30.8,20,-,87,6,3,5.4,34.666666666666664
23,28.5,19.8,-,82,6.9,5.9,7.6,39.208333333333336
22.9,27.6,20.5,-,82,6.9,5.6,9.4,38.708333333333336
nan,nan,nan,nan,nan,nan,nan,nan,31.375
nan,nan,nan,nan,nan,nan,nan,nan,16.583333333333332
nan,nan,nan,nan,nan,nan,nan,nan,66.83333333333333
23.7,29.7,19.3,-,75,7.7,5.6,9.4,69.95833333333333
23.5,29.7,19.4,-,76,6.3,7.8,11.1,94.375
23.1,28,19.3,-,75,6.3,9.4,18.3,85.75
nan,nan,nan,nan,nan,nan,nan,nan,80.66666666666667
nan,nan,nan,nan,nan,nan,nan,nan,93.66666666666669
nan,nan,nan,nan,nan,nan,nan,nan,39.5
24.2,29.4,20.2,-,76,6.3,3.7,11.1,51.66666666666666
22.9,29.4,20.4,-,83,5.5,6.3,11.1,39.41666666666666
23.6,29.4,19.2,-,77,6.9,2.8,7.6,23.95833333333333
nan,nan,nan,nan,nan,nan,nan,nan,19.916666666666668
nan,nan,nan,nan,nan,nan,nan,nan,11.5
nan,nan,nan,nan,nan,nan,nan,nan,32.958333333333336
24.3,33.2,18.7,-,76,6.9,1.3,3.5,43.5
23.2,30.3,20,-,82,6.9,2.2,5.4,50.41666666666666
23.8,31.6,20.2,-,78,6,2.4,5.4,55.70833333333334
nan,nan,nan,nan,nan,nan,nan,nan,47.08333333333334
nan,nan,nan,nan,nan,nan,nan,nan,51.45833333333334
nan,nan,nan,nan,nan,nan,nan,nan,35.541666666666664
24.5,30,21,-,77,6.9,2,5.4,57.125
24.6,30,21.7,-,78,6.3,3.5,5.4,69.375
24.7,29.8,21.3,-,77,6.9,3.9,9.4,65.375
nan,nan,nan,nan,nan,nan,nan,nan,75.625
nan,nan,nan,nan,nan,nan,nan,nan,88.95833333333331
nan,nan,nan,nan,nan,nan,nan,nan,93.25
24.2,30.2,20.3,-,79,6.9,3.9,9.4,112.29166666666669
24,30.2,20.9,-,77,6.9,3.5,5.4,97.70833333333331
24.3,29.4,20.6,-,75,6.9,7.2,11.1,80.70833333333333
nan,nan,nan,nan,nan,nan,nan,nan,69.25
nan,nan,nan,nan,nan,nan,nan,nan,55.91666666666666
nan,nan,nan,nan,nan,nan,nan,nan,62.70833333333334
25.1,31,21.2,-,62,6.9,1.9,3.5,81.625
25.1,32.1,19.6,-,52,6.9,2.2,3.5,65.375
25.2,32.1,19.7,-,59,6.9,0.7,3.5,84.375
nan,nan,nan,nan,nan,nan,nan,nan,115.875
nan,nan,nan,nan,nan,nan,nan,nan,140.16666666666666
nan,nan,nan,nan,nan,nan,nan,nan,175.375
25.6,31.8,20.6,-,62,6.9,3.5,5.4,141.95833333333334
25.5,31.4,21.5,-,63,5.5,2,5.4,153.375
24.9,30.6,21.4,-,61,6.3,2,5.4,162.875
nan,nan,nan,nan,nan,nan,nan,nan,115.70833333333331
nan,nan,nan,nan,nan,nan,nan,nan,100.625
nan,nan,nan,nan,nan,nan,nan,nan,91.125
24.2,31.8,17.8,-,60,6.3,3.5,5.4,0.0
24.4,29.8,20,-,62,6.9,3,5.4,49.33333333333334
24.4,29.6,20.6,-,67,6.9,0.9,3.5,107.33333333333331
nan,nan,nan,nan,nan,nan,nan,nan,80.16666666666667
nan,nan,nan,nan,nan,nan,nan,nan,84.04166666666667
nan,nan,nan,nan,nan,nan,nan,nan,97.25
24.7,30.8,20.6,-,72,7.7,1.3,3.5,273.625
23.4,29.5,21.7,-,83,6.3,0,-,256.9583333333333
23.1,30.9,20,-,83,5.5,1.1,5.4,185.08333333333331
21.8,30.9,19.5,-,87,6.3,1.5,5.4,249.5
nan,nan,nan,nan,nan,nan,nan,nan,269.5833333333333
nan,nan,nan,nan,nan,nan,nan,nan,135.375
nan,nan,nan,nan,nan,nan,nan,nan,166.16666666666666
23.7,28.5,20.8,-,69,6.6,1.5,3.5,365.75
23,28.5,19.3,-,76,6.3,0.9,3.5,241.875
20.2,27.3,18.4,-,92,4,3.5,5.4,176.875
nan,nan,nan,nan,nan,nan,nan,nan,205.0
nan,nan,nan,nan,nan,nan,nan,nan,113.625
nan,nan,nan,nan,nan,nan,nan,nan,296.875
19.3,24.6,17,-,88,6.3,0.7,3.5,353.04166666666674
20.2,24.8,16.1,-,75,5.5,0.9,3.5,257.4166666666667
19.1,24.8,17.7,-,89,4,2,5.4,204.75
nan,nan,nan,nan,nan,nan,nan,nan,160.95833333333334
nan,nan,nan,nan,nan,nan,nan,nan,130.75
nan,nan,nan,nan,nan,nan,nan,nan,174.79166666666663
21.7,24.6,19.5,-,90,4,1.9,3.5,207.83333333333331
22,26.4,19.8,-,87,5.8,2.2,5.4,268.1666666666667
21.9,26.4,19.6,-,85,6.9,2,5.4,278.3333333333333
nan,nan,nan,nan,nan,nan,nan,nan,256.7083333333333
nan,nan,nan,nan,nan,nan,nan,nan,279.5833333333333
nan,nan,nan,nan,nan,nan,nan,nan,280.2083333333333
21.4,27.5,17.5,-,66,6.9,0.2,1.9,157.5
22.6,28,17.7,-,74,6.3,0,-,156.375
22.7,28.9,18.6,-,64,6.9,1.3,3.5,200.5
nan,nan,nan,nan,nan,nan,nan,nan,267.0416666666667
nan,nan,nan,nan,nan,nan,nan,nan,272.0833333333333
nan,nan,nan,nan,nan,nan,nan,nan,337.125
21.1,23.8,19.8,-,91,6.3,0.7,5.4,212.125
21,23.9,19.6,-,93,6.3,0.9,3.5,190.5
21.5,24.9,18.9,-,87,6.9,0.9,3.5,236.41666666666663
nan,nan,nan,nan,nan,nan,nan,nan,187.875
nan,nan,nan,nan,nan,nan,nan,nan,252.54166666666663
nan,nan,nan,nan,nan,nan,nan,nan,312.625
22.3,28.7,17.5,-,70,6.3,1.3,5.4,286.375
21.5,28.7,17,-,68,6.3,2.2,5.4,288.0833333333333
21.4,28.2,18.4,-,83,5.8,1.1,3.5,302.4583333333333
nan,nan,nan,nan,nan,nan,nan,nan,261.25
nan,nan,nan,nan,nan,nan,nan,nan,269.125
nan,nan,nan,nan,nan,nan,nan,nan,249.95833333333331
24.1,30.9,20.4,-,70,6.9,2,5.4,163.0
23.6,30.9,19.6,-,79,6.3,2.8,5.4,161.375
23.3,29.9,20,-,71,6.3,1.9,3.5,157.375
nan,nan,nan,nan,nan,nan,nan,nan,162.875
nan,nan,nan,nan,nan,nan,nan,nan,244.16666666666663
nan,nan,nan,nan,nan,nan,nan,nan,239.79166666666663
22.4,28.3,18.9,-,71,6.3,2.2,5.4,245.91666666666663
22.2,28.4,18.8,-,73,6.9,1.9,5.4,264.5833333333333
22.2,28.8,18.3,-,65,6.9,2.4,5.4,253.29166666666663
nan,nan,nan,nan,nan,nan,nan,nan,338.625
nan,nan,nan,nan,nan,nan,nan,nan,431.83333333333326
nan,nan,nan,nan,nan,nan,nan,nan,215.25
21.8,29.3,16.3,-,65,6.3,1.5,3.5,181.20833333333331
21.8,28.2,18.2,-,67,6,2.4,5.4,210.875
21.8,27.7,17.9,-,72,5.3,2.8,5.4,255.33333333333331
nan,nan,nan,nan,nan,nan,nan,nan,199.91666666666663
nan,nan,nan,nan,nan,nan,nan,nan,190.5
nan,nan,nan,nan,nan,nan,nan,nan,199.58333333333331
-,-,-,-,-,-,-,-,nan
22.9,28.3,20,-,77,6.3,4.1,7.6,36.0
22.6,28.4,20.1,-,81,6.3,5,7.6,70.58333333333333
21.9,27.7,19.6,-,82,7.7,5.7,11.1,52.45833333333334
nan,nan,nan,nan,nan,nan,nan,nan,36.583333333333336
nan,nan,nan,nan,nan,nan,nan,nan,45.58333333333334
nan,nan,nan,nan,nan,nan,nan,nan,33.166666666666664
23.9,29,20.4,-,81,6.9,4.6,9.4,38.25
23.3,30.3,20.1,-,84,6.3,3.1,5.4,26.58333333333333
24.1,29.1,20.7,-,82,6.3,3.3,7.6,57.58333333333334
nan,nan,nan,nan,nan,nan,nan,nan,30.70833333333333
nan,nan,nan,nan,nan,nan,nan,nan,35.375
nan,nan,nan,nan,nan,nan,nan,nan,15.416666666666664
22.4,26,19.4,-,82,6.9,6.1,7.6,41.375
22.2,27,19.8,-,78,6.3,7.4,11.1,25.54166666666667
22.9,27.2,19.3,-,71,8.5,8.3,11.1,28.375
22.1,27.6,19.1,-,76,6.9,9.8,14.8,40.333333333333336
nan,nan,nan,nan,nan,nan,nan,nan,39.333333333333336
nan,nan,nan,nan,nan,nan,nan,nan,41.833333333333336
nan,nan,nan,nan,nan,nan,nan,nan,50.33333333333334
23.3,28.3,20,-,75,6.9,7,9.4,35.375
23.5,28.2,20,-,76,6.9,8,11.1,31.91666666666667
23.8,27.8,20.5,-,73,7.7,6.7,11.1,36.79166666666666
nan,nan,nan,nan,nan,nan,nan,nan,33.291666666666664
nan,nan,nan,nan,nan,nan,nan,nan,35.5
nan,nan,nan,nan,nan,nan,nan,nan,35.291666666666664
24,29,20.6,-,77,6.3,5.9,11.1,26.83333333333333
22.9,28.2,20,-,77,6.9,4.1,5.4,21.125
23.5,28.8,19.5,-,74,7.7,5.9,9.4,18.0
nan,nan,nan,nan,nan,nan,nan,nan,28.04166666666667
nan,nan,nan,nan,nan,nan,nan,nan,34.875
nan,nan,nan,nan,nan,nan,nan,nan,35.708333333333336
23.9,29,20.3,-,71,6.9,6.7,9.4,43.58333333333334
24.4,30.2,20.4,-,71,6.9,5,9.4,46.04166666666666
24.3,30.1,20.4,-,74,6.9,4.1,5.4,28.75
nan,nan,nan,nan,nan,nan,nan,nan,70.54166666666667
nan,nan,nan,nan,nan,nan,nan,nan,58.54166666666666
nan,nan,nan,nan,nan,nan,nan,nan,82.875
23.1,29.3,21,-,77,6.3,4.1,7.6,64.91666666666667
23.8,28.2,19.9,-,76,5.5,6.9,11.1,30.66666666666667
23.3,28.7,21.2,-,79,6.9,5,7.6,31.75
nan,nan,nan,nan,nan,nan,nan,nan,41.04166666666666
nan,nan,nan,nan,nan,nan,nan,nan,45.25
nan,nan,nan,nan,nan,nan,nan,nan,34.416666666666664
22.4,27.2,20.4,-,87,5.5,5.4,7.6,33.166666666666664
23.2,26.6,20,-,82,7.4,5,7.6,30.625
22.6,26.7,20.6,-,82,6.3,5.2,7.6,30.33333333333333
23.7,27.2,20.4,-,75,6.9,6.1,11.1,31.75
nan,nan,nan,nan,nan,nan,nan,nan,34.208333333333336
nan,nan,nan,nan,nan,nan,nan,nan,11.625
nan,nan,nan,nan,nan,nan,nan,nan,0.0
23.1,27.2,18.8,-,69,7.7,4.3,5.4,0.0
23.9,28.6,19.3,-,67,6.9,5,7.6,0.0
24.3,29.4,20.4,-,69,6.3,4.1,7.6,0.0
nan,nan,nan,nan,nan,nan,nan,nan,0.0
nan,nan,nan,nan,nan,nan,nan,nan,26.16666666666667
nan,nan,nan,nan,nan,nan,nan,nan,76.875
23.6,26.5,20.5,-,75,6.3,5.2,7.6,83.45833333333333
23.8,27.8,20.4,-,76,6.9,4.6,5.4,71.66666666666667
22.9,28.6,20.5,-,79,6.3,5.6,9.4,65.625
nan,nan,nan,nan,nan,nan,nan,nan,53.375
nan,nan,nan,nan,nan,nan,nan,nan,56.08333333333334
nan,nan,nan,nan,nan,nan,nan,nan,69.70833333333333
24.4,29,19.8,-,68,6.9,6.3,11.1,62.375
23.2,30.6,19.7,-,71,6.9,6.7,9.4,24.875
22.7,27.4,20.2,-,76,6.9,7.4,11.1,37.333333333333336
nan,nan,nan,nan,nan,nan,nan,nan,50.125
nan,nan,nan,nan,nan,nan,nan,nan,46.54166666666666
nan,nan,nan,nan,nan,nan,nan,nan,43.95833333333334
22.6,25.8,19.8,-,79,5.5,5,9.4,41.5
24.1,28,20.5,-,76,6.9,5,7.6,38.79166666666666
24.3,28.6,20.9,-,75,7.4,6.9,11.1,48.91666666666666
nan,nan,nan,nan,nan,nan,nan,nan,76.91666666666667
nan,nan,nan,nan,nan,nan,nan,nan,34.458333333333336
nan,nan,nan,nan,nan,nan,nan,nan,30.33333333333333
23.2,29.7,19.6,-,72,6.3,4.6,7.6,26.66666666666667
23.6,29.5,18.8,-,68,6.3,3.7,7.6,29.0
25.3,30.7,20.3,-,64,5.5,3.5,5.4,34.25
nan,nan,nan,nan,nan,nan,nan,nan,62.70833333333334
nan,nan,nan,nan,nan,nan,nan,nan,65.08333333333333
nan,nan,nan,nan,nan,nan,nan,nan,61.70833333333334
24.6,31.6,19.7,-,60,6.3,3,5.4,60.54166666666666
24.6,30.6,19.8,-,65,6.3,5.2,7.6,41.583333333333336
23.9,31.3,19.6,-,70,6.3,5,5.4,50.91666666666666
nan,nan,nan,nan,nan,nan,nan,nan,40.958333333333336
nan,nan,nan,nan,nan,nan,nan,nan,60.66666666666666
nan,nan,nan,nan,nan,nan,nan,nan,80.04166666666667
23.6,29.3,20.1,-,72,5.3,1.5,3.5,82.83333333333333
24.8,29,21,-,59,6.9,1.3,3.5,95.25
23.9,30.6,19.4,-,54,6.9,1.9,3.5,115.83333333333331
nan,nan,nan,nan,nan,nan,nan,nan,149.66666666666666
nan,nan,nan,nan,nan,nan,nan,nan,145.58333333333334
nan,nan,nan,nan,nan,nan,nan,nan,126.16666666666669
25,31.2,18.7,-,48,6.9,0.9,3.5,136.70833333333334
24.6,31.1,19.1,-,50,6.9,1.5,3.5,160.66666666666666
24.9,31.2,19.1,-,50,6.3,2.8,3.5,173.58333333333337
nan,nan,nan,nan,nan,nan,nan,nan,168.625
nan,nan,nan,nan,nan,nan,nan,nan,174.66666666666663
nan,nan,nan,nan,nan,nan,nan,nan,245.66666666666663
24.8,31.3,19.8,-,49,6.3,0.9,3.5,261.6666666666667
24.2,31,18.4,-,52,6.9,0.7,5.4,272.4166666666667
25.2,30.8,19.4,-,45,7.4,1.1,3.5,226.29166666666663
nan,nan,nan,nan,nan,nan,nan,nan,291.7083333333333
nan,nan,nan,nan,nan,nan,nan,nan,207.33333333333331
nan,nan,nan,nan,nan,nan,nan,nan,149.625
24.5,30.7,20.1,-,68,6.3,4.1,5.4,99.70833333333331
23.7,30.6,20.8,-,72,5.5,2.2,7.6,217.375
24.1,29.1,20.1,-,66,6.3,2.2,3.5,309.375
25.2,30,20.9,-,61,6.9,2.6,7.6,166.91666666666666
nan,nan,nan,nan,nan,nan,nan,nan,429.16666666666674
nan,nan,nan,nan,nan,nan,nan,nan,332.4583333333333
nan,nan,nan,nan,nan,nan,nan,nan,321.5416666666667
24,31.5,18.7,-,49,6.9,2.2,3.5,278.0
23.4,30.6,18.8,-,48,6.9,3,7.6,192.33333333333331
22.5,30.3,17.7,-,49,6.9,2.8,7.6,235.33333333333331
nan,nan,nan,nan,nan,nan,nan,nan,153.29166666666666
-,-,-,-,-,-,-,-,171.54166666666666
nan,nan,nan,nan,nan,nan,nan,nan,224.16666666666663
nan,nan,nan,nan,nan,nan,nan,nan,196.75
24.1,30.9,20.4,-,68,5.5,4.3,5.4,221.54166666666663
24.6,30.1,20.3,-,61,6.9,2.6,7.6,210.54166666666663
24.3,30.4,19.6,-,65,6.9,3.7,7.6,251.20833333333331
nan,nan,nan,nan,nan,nan,nan,nan,172.83333333333337
nan,nan,nan,nan,nan,nan,nan,nan,166.70833333333334
nan,nan,nan,nan,nan,nan,nan,nan,130.70833333333334
23.3,29.7,18.4,-,57,6.9,3.1,5.4,194.70833333333331
22.9,30.5,18.1,-,47,6.9,3.5,5.4,250.875
22.9,31,16.6,-,40,7.7,2.8,3.5,274.875
nan,nan,nan,nan,nan,nan,nan,nan,207.91666666666663
nan,nan,nan,nan,nan,nan,nan,nan,134.45833333333334
nan,nan,nan,nan,nan,nan,nan,nan,110.0
23.4,31.5,15.9,-,33,7.4,2.2,5.4,160.0
22.6,31.5,15,-,39,6.9,0.9,3.5,217.91666666666663
23,32.5,14.2,-,39,6.3,1.3,3.5,184.20833333333331
nan,nan,nan,nan,nan,nan,nan,nan,130.91666666666666
nan,nan,nan,nan,nan,nan,nan,nan,118.91666666666669
21.6,30,17.6,-,58,6.9,3,3.5,176.375
21,26.9,18,-,86,5.5,2,5.4,185.95833333333331
21.1,26.9,18.9,-,88,6.3,4.1,5.4,195.375
nan,nan,nan,nan,nan,nan,nan,nan,151.04166666666666
nan,nan,nan,nan,nan,nan,nan,nan,170.875
nan,nan,nan,nan,nan,nan,nan,nan,239.125
22.1,28,15,-,59,6.3,2.4,5.4,365.29166666666674
22.8,29,18.4,-,61,6.6,1.9,5.4,312.2083333333333
22.6,29.5,16.2,-,42,6.9,1.9,3.5,237.625
nan,nan,nan,nan,nan,nan,nan,nan,179.33333333333337
nan,nan,nan,nan,nan,nan,nan,nan,122.54166666666669
nan,nan,nan,nan,nan,nan,nan,nan,121.33333333333331
18.9,25,17.7,-,97,4,4.3,5.4,202.875
20.3,22,18.6,-,90,4,3.9,5.4,260.1666666666667
21.8,26.5,17.9,-,70,6.3,3.7,7.6,403.95833333333326
nan,nan,nan,nan,nan,nan,nan,nan,455.58333333333326
nan,nan,nan,nan,nan,nan,nan,nan,382.70833333333326
nan,nan,nan,nan,nan,nan,nan,nan,277.7083333333333
22,28.9,16.7,-,57,6.3,2.8,5.4,284.1666666666667
21.8,29.4,15.6,-,67,6.9,3.5,5.4,288.4166666666667
22.6,29,17.7,-,63,5.8,1.3,3.5,256.8333333333333
nan,nan,nan,nan,nan,nan,nan,nan,175.75
nan,nan,nan,nan,nan,nan,nan,nan,180.79166666666663
nan,nan,nan,nan,nan,nan,nan,nan,166.91666666666666
20.6,30.5,14.7,-,62,6,2.2,3.5,169.0
21.8,29,14.8,-,46,5.8,1.5,3.5,186.04166666666663
21.5,30.4,14.9,-,42,6,3,5.4,185.58333333333331
nan,nan,nan,nan,nan,nan,nan,nan,114.08333333333331
nan,nan,nan,nan,nan,nan,nan,nan,140.45833333333334
nan,nan,nan,nan,nan,nan,nan,nan,108.08333333333331
-,-,-,-,-,-,-,-,nan
